 ,0.667,2.252,,5,,,
684,0.164,1.031,,,,401,0.365
685,0.167,1.038,,,,402,0.362
686,0.184,1.031,,,,403,0.343
687,0.18,1.009,,,,404,0.323
688,0.181,0.964,,,,405,0.321
689,0.183,0.942,,,,406,0.299
690,0.167,0.917,,,,407,0.303
691,0.178,0.913,,,,408,0.299
692,0.183,0.872,,,,409,0.28
693,0.186,0.881,,,,410,0.26
694,0.181,0.832,,,,411,0.264
695,0.183,0.822,,,,412,0.254
696,0.157,0.79,,,,413,0.266
697,0.182,0.796,,,,414,0.236
698,0.183,0.775,,,,415,0.244
699,0.182,0.752,,,,416,0.244
700,0.185,0.748,,,,417,0.239
701,0.067,0.612,,,,418,0.208
702,0.088,0.618,,,,419,0.194
703,0.064,0.585,,,,420,0.195
704,0.067,0.586,,,,421,0.16
705,0.067,0.557,,,,422,0.189
706,0.085,0.537,,,,423,0.183
707,0.07,0.547,,,,424,0.172
708,0.09,0.533,,,,425,0.166
709,0.087,0.511,,,,426,0.143
710,0.087,0.487,,,,427,0.161
711,0.086,0.506,,,,428,0.153
712,0.07,0.469,,,,429,0.134
713,0.086,0.482,,,,430,0.144
714,0.068,0.455,,,,431,0.119
715,0.088,0.463,,,,432,0.119
716,0.066,0.428,,,,433,0.155
717,0.081,0.437,,,,434,0.125
718,0.068,0.412,,,,435,0.116
719,0.087,0.435,,,,436,0.116
720,0.083,0.391,,,,437,0.115
721,0.086,0.403,,,,438,0.101
722,0.087,0.391,,,,439,0.112
723,0.073,0.366,,,,440,0.1
724,0.089,0.366,,,,441,0.097
725,0.069,0.353,,,,442,0.091
726,0.087,0.358,,,,443,0.075
727,0.088,0.334,,,,444,0.069
728,0.088,0.346,,,,445,0.093
729,0.084,0.321,,,,446,0.092
730,0.081,0.337,,,,447,0.139
731,0.082,0.312,,,,448,0.094
732,0.085,0.306,,,,449,0.082
733,0.078,0.298,,,,450,0.105
734,0.122,0.297,,,,451,0.086
735,0.081,0.306,,,,452,0.086
736,0.064,0.281,,,,453,0.082
737,0.068,0.308,,,,454,0.064
738,0.066,0.287,,,,455,0.079
739,0.084,0.294,,,,456,0.089
740,0.07,0.284,,,,457,0.079
741,0.079,0.284,,,,458,0.093
742,0.081,0.283,,,,459,0.08
743,0.082,0.252,,,,460,0.076
744,0.086,0.27,,,,461,0.083
745,0.066,0.247,,,,462,0.095
746,0.068,0.268,,,,463,0.078
747,0.069,0.24,,,,464,0.057
748,0.087,0.254,,,,465,0.062
749,0.092,0.231,,,,466,0.098
750,0.086,0.251,,,,467,0.086
751,0.065,0.23,,,,468,0.085
752,0.081,0.244,,,,469,0.081
753,0.086,0.226,,,,470,0.101
754,0.088,0.22,,,,471,0.083
755,0.068,0.246,,,,472,0.088
756,0.064,0.211,,,,473,0.093
757,0.069,0.232,,,,474,0.1
758,0.071,0.209,,,,475,0.095
759,0.067,0.227,,,,476,0.074
760,0.067,0.211,,,,477,0.081
761,0.069,0.224,,,,478,0.088
762,0.068,0.219,,,,479,0.098
763,0.082,0.211,,,,480,0.102
764,0.065,0.212,,,,481,0.1
765,0.079,0.194,,,,482,0.106
766,0.077,0.212,,,,483,0.117
767,0.06,0.185,,,,484,0.097
768,0.059,0.207,,,,485,0.104
769,0.054,0.178,,,,486,0.133
770,0.073,0.197,,,,487,0.084
771,0.061,0.2,,,,488,0.111
772,0.079,0.194,,,,489,0.12
773,0.06,0.199,,,,490,0.122
774,0.079,0.198,,,,491,0.126
775,0.067,0.196,,,,492,0.14
776,0.085,0.181,,,,493,0.127
777,0.078,0.223,,,,494,0.131
778,0.063,0.168,,,,495,0.127
779,0.067,0.192,,,,496,0.133
780,0.066,0.19,,,,497,0.155
781,0.086,0.198,,,,498,0.127
